Nazwa pytania,Numer pytania,Pytanie,Odpowiedź A,Odpowiedź B,Odpowiedź C,Poprawna odp,Media,Zakres struktury,Liczba punktów,Kategorie,Nazwa bloku,Źródło pytania,O co chcemy zapytać,Jaki ma związek z bezpieczeństwem,Status,Podmiot
W5(4),478,"Czy w tej sytuacji nadawany sygnał świetlny oznacza, że podczas jazdy w prawo nie występuje kolizja z innymi uczestnikami ruchu?",,,,T,066D16_a_org.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W5,"§ 97 ust. 3 rozporządzenia Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz.U. Nr 170, poz. 1393, z późn. zm.)",Znajomość wiedzy w zakresie sygnalizacji świetlnej,"Konfrontacja, której skutkiem jest bezpośrednie zagrożenie dla zdrowia lub życia",Gotowe ostatecznie,PWPW
W5(5),480,Czy w tej sytuacji nadawany sygnał świetlny zezwala Ci na wjazd za sygnalizator?,,,,N,IMG_0325_9550d5_a_org.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W5,"§ 95 i § 97 ust. 1 i 2 rozporządzenia Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz.U. Nr 170, poz. 1393, z późn. zm.)",Znajomość znaczenia sygnałów świetlnych,"Nieznajomość znaczenia znaków i sygnałów drogowych prowadzi do ich nieprzestrzegania, co powoduje realne zagrożenie bezpieczeństwa i wiele wypadków drogowych",Gotowe ostatecznie,PWPW
W5(7),486,"Czy w tej sytuacji wolno Ci skręcić w prawo, jeśli nie spowodujesz tym utrudnienia ruchu?",,,,N,0084D18_a_org.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W5,"§ 97 rozporządzenie Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz. U. Nr 170, poz. 1393, z późn. zm.).",Znajomość wiedzy w zakresie sygnalizacji świetlnej,"Konfrontacja, której skutkiem jest bezpośrednie zagrożenie dla zdrowia lub życia",Gotowe ostatecznie,PWPW
W4(1),544,"Czy w tej sytuacji wolno Ci zmienić zajmowany pas ruchu, gdy zamierzasz jechać na wprost?",,,,T,IMG_9324_org.jpg,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W4,"§ 86 ust. 1 i 2 rozporządzenia Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz.U. Nr 170, poz. 1393 ze. zm.)",Znajomość  znaczenia znaku poziomego P-1 o podwójnej szerokości oraz ograniczeń z tym związanych,Znajomość i stosownie sie do znaku poziomego P-1 pozwala na podejmowanie odpowiednich decyzji i unikanie sytuacji zagrażajacych bezpieczenstwu lub porządkopwi ruchu,Gotowe ostatecznie,PWPW
W3(2),589,Czy na tej drodze możesz spodziewać się rowerzystów nadjeżdżających z przeciwka?,,,,T,4152D15Xorg.jpg,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W3,"§ 44 w związku z § 91 ust. 2 rozporządzenia Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz.U. Nr 170, poz. 1393, ze. zm.)","Znajomość wiedzy w zakresie wyznaczania na jezdni jednokierunkowej, za pomocą znaków poziomych, pasa ruchu dla rowerzystów",Brak znajomości wiedzy o możliwości wyznaczenia na jezdni jednokierunkowej pasa ruchu dla rowerzystów nadjeżdżających z przeciwka może być przyczyną naruszenia porządku ruchu,Gotowe ostatecznie,PWPW
W4(2),591,Czy w tej sytuacji wolno Ci wjechać na pas ruchu po lewej stronie?,,,,N,4170D15_a_org.jpg,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W4,"§ 86 ust. 4 w nawiązaniu do § 85 ust. 2 i 3 rozporządzenia Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz.U. Nr 170, poz. 1393, ze. zm.)","Znajomość wiedzy w zakresie znaczenia znaku poziomego P-3 ""linia jednostronnie przekraczalna"" oraz ograniczeń z tym związanych",Brak wiedzy dotyczącej zachowania wobec znaków poziomych może być przyczyną zakłócenia porządku i bezpieczeństwa ruchu na drodze,Gotowe ostatecznie,PWPW
W4(3),595,"Czy ten znak poziomy wyznacza miejsce bezwzględnego zatrzymania się, nawet w sytuacji, gdy z żadnej ze stron nie nadjeżdża pojazd?",,,,T,D16_01_org.mp4,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W4,(Dz. U. z 2003 r. Nr 170) § 89 ust. 1,o znajomość znaczenia znaków poziomych,"Nieznajomość znaczenia znaków drogowych prowadzi do ich nieprzestrzegania, co powoduje realne zagrożenie bezpieczeństwa",Gotowe ostatecznie,PWPW
W4(4),599,"Czy w tej sytuacji widoczna linia przerywana wyznacza Ci miejsce zatrzymania w związku ze znakiem ""stop""?",,,,N,D16_05_org.mp4,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W4,"§ 89 ust. 3 w odniesieniu do § 21 ust. 1 i 2 rozporządzenia Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz.U. Nr 170, poz. 1393, ze. zm.)","Znajomość wiedzy w zakresie znaku poziomego P-14 ""linia warunkowego zatrzymania złożona z prostokątów"" oraz ograniczeń z tym związanych","Brak wiedzy w zakresie znaczenia znaku poziomego P-14 ""linia warunkowego zatrzymania złożona z prostokątów "" oraz ograniczeń z tym związanych może spowodować bezpośrednie zagrożenie ruchu drogowego lub ruch ten utrudnić",Gotowe ostatecznie,PWPW
W4(5),600,"Czy ta linia ciągła wyznacza Ci miejsce zatrzymania pojazdu w związku ze znakiem ""stop""?",,,,T,D16_06_org.mp4,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W4,"§ 89 ust. 1 rozporządzenia Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz.U. Nr 170, poz. 1393, ze zm.)","Znajomość wiedzy w zakresie znaku poziomego P-12 ""linia bezwzględnego zatrzymania - stop"" oraz ograniczeń z tym związanych","Brak wiedzy w zakresie znaczenia znaku poziomego P-12 ""linia bezwzględnego zatrzymania - stop"" oraz ograniczeń z tym związanych może spowodować bezpośrednie zagrożenie ruchu drogowego lub ruch ten utrudnić",Gotowe ostatecznie,PWPW
W4(7),610,Zamierzasz zawrócić na tym skrzyżowaniu. Czy zajmujesz właściwy pas ruchu?,,,,T,MM_D14_15_org.mp4,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W4,"§ 87 ust. 1 pkt 2 i ust. 2 rozporządzenia Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz.U. Nr 170, poz. 1393, ze. zm.)","Znajomość wiedzy w zakresie znaczenia znaku poziomego P-8b ""strzałka kierunkowa do skręcania"" oraz ograniczeń z tym związanych",Brak wiedzy o znaczeniu znaku poziomego P-8b może powodować utrudnienie ruchu pojazdów,Gotowe ostatecznie,PWPW
W4(8),612,Skręcasz w lewo na skrzyżowaniu. Czy po wjechaniu na jezdnię poprzeczną znaki poziome pozwalają Ci zająć pas ruchu przy prawej krawędzi jezdni?,,,,T,MM_D14_17_org.mp4,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W4,"§ 86 ust. 4 rozporządzenia Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz.U. Nr 170, poz. 1393, ze. zm.)","Znajomość wiedzy w zakresie znaczenia znaku poziomego P3 ""linia jednostronnie przekraczalna"" oraz ograniczeń z tym związanych","Znajomość znaczenia znaków wyznaczających pasy ruchu, umożliwiających zmianę tych pasów usprawnia przejazd",Gotowe ostatecznie,PWPW
W4(9),617,Czy w tym miejscu wolno Ci skręcić w lewo i wjechać na stację paliw?,,,,N,MM_D14_24_org.mp4,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W4,Art. 3 ust. 1 Prd oraz  § 86 ust. 5 i § 35 ust. 1 pkt 5  (Dz. U. z 2003 r. Nr 170),Znajomość znaczenia znaków poziomych i pionowych,Znajomość i stosowanie się do znaków oddzielających pasy ruchu dla kierunków przeciwnych jest ważnym czynnikiem eliminującym powstawanie wypadków drogowych,Gotowe ostatecznie,PWPW
W4(10),621,Czy widoczna linia złożona z trójkątów wskazuje Ci miejsce zatrzymania pojazdu w celu ustąpienia pierwszeństwa?,,,,T,MM_D14_29_org.mp4,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W4,"§ 89 ust. 2 rozporządzenia Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz.U. Nr 170, poz. 1393, ze. zm.)","Znajomość wiedzy w zakresie znaku poziomego P-13 ""linia warunkowego zatrzymania złożona z trójkątów"" oraz ograniczeń z tym związanych","Brak znajomości wiedzy o znaczeniu znaku poziomego P-13 ""linia warunkowego zatrzymania złożona z trójkątów"" oraz ograniczeń z tym związanych może mieć wpływ bezpieczeństwo ruchu drogowego lub ruch ten utrudnić",Gotowe ostatecznie,PWPW
W4(12),623,"Czy w tym miejscu możesz skręcić w lewo, na parking?",,,,N,MM_D14_34_org.mp4,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W4,Art. 3 ust. 1 Prd i  § 86 ust. 5 (Dz. U. z 2003 r. Nr 170),Znajomość znaczenia znaków poziomych,Znajomość i stosowanie się do znaków oddzielających pasy ruchu dla kierunków przeciwnych jest ważnym czynnikiem eliminującym powstawanie wypadków drogowych,Gotowe ostatecznie,PWPW
W4(13),624,"Zamierzasz odpocząć. Czy w tym miejscu możesz skręcić w lewo, na parking?",,,,N,MM_D14_38_org.mp4,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W4,Art. 3 ust. 1 Prd i § 86 ust. 5 (Dz. U. z 2003 r. Nr 170),Znajomość znaczenia znaków poziomych,Znajomość i stosowanie się do znaków poziomych oddzielających pasy ruchu dla kierunków przeciwnych jest istotnym czynnikiem bezpieczeństwa na drodze,Gotowe ostatecznie,PWPW
W4(14),626,Czy w tej sytuacji wolno Ci skręcić w lewo z zajmowanego przez Ciebie pasa ruchu?,,,,N,MM_D14_42_org.mp4,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W4,"(Dz. U. z 2003 r. Nr 170) § 87 ust. 1 pkt 2, w zw. z § 85 ust. 3",Znajomość znaczenia znaków poziomych,Znajomość znaczenia i zasad stosowania znaków poziomych jest ważnym czynnikiem bezpieczeństwa i porządku ruch drogowego,Gotowe ostatecznie,PWPW
W4(15),627,Czy w tym miejscu wolno Ci wjechać na pas ruchu przeznaczony dla pojazdów jadących w przeciwnym kierunku?,,,,N,0445D14MM_aorgbm.jpg,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W4,Art. 3 ust. 1 Prd i § 86 ust. 4 (DZ. U. z 2003r. Nr 170),Znajomość znaczenia znaków poziomych,Znajomość i stosowanie się do znaków poziomych oddzielających pasy ruchu dla kierunków przeciwnych jest istotnym czynnikiem bezpieczeństwa na drodze,Gotowe ostatecznie,PWPW
W4(16),630,"Czy w tym miejscu, bezpośrednio przed przejściem dla pieszych, wolno Ci zmienić pas ruchu?",,,,N,D10MM_3org.mp4,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W4,"§ 86 ust. 3 rozporządzenia Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz.U. Nr 170, poz. 1393 ze. zm.) w nawiązaniu do pkt 2.2.1.6 załącznika nr 2 do rozporządzenia Ministra Infrastruktury z dnia 3 lipca 2003 r. w sprawie szczegółowych warunków technicznych dla znaków i sygnałów drogowych oraz urządzeń bezpieczeństwa ruchu drogowego i warunków ich umieszczania na drogach (Dz. U. Nr 220, poz. 2181, ze zm.)","Znajomość wiedzy w zakresie znaku P-2 ""linia pojedyncza ciągła"" oraz ograniczeń z tym związanych",Znajomość i stosowanie się do znaków oddzielających pasy ruchu dla tego samego kierunku ogranicza możliwość spowodowania zagrożenia lub utrudnienia ruchu na drodze,Gotowe ostatecznie,PWPW
W4(17),632,Czy widoczny znak poziomy w kształcie trójkąta potwierdza ostrzeżenie o skrzyżowaniu z drogą z pierwszeństwem?,,,,T,D10MM_10org.mp4,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W4,"§ 89 ust. 4 w odniesieniu do § 5 ust. 5 rozporządzenia Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz.U. Nr 170, poz. 1393, ze. zm.)","Znajomość znaczenia znaku poziomego P-15 ""trójkąt podporządkowania"" oraz ograniczeń z tym związanych",Znajomość znaczenia znaków dotyczących pierwszeństwa przejazdu jest ważnym czynnikiem bezpieczeństwa ruchu w miejscach jego przecinania się,Gotowe ostatecznie,PWPW
W4(18),637,Czy w tej sytuacji wolno Ci wjechać na sąsiedni prawy pas ruchu?,,,,T,D10MM_22org.mp4,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W4,"§ 86 ust. 4 rozporządzenia Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz.U. Nr 170, poz. 1393, ze. zm.)","Znajomość wiedzy w zakresie znaczenia znaku poziomego P-3 ""linia jednostronnie przekraczalna"" oraz ograniczeń z tym związanych",Brak wiedzy o znaczeniu znaku poziomego P-3 może powodować utrudnienie ruchu pojazdów,Gotowe ostatecznie,PWPW
W4(19),639,Czy widoczna poprzeczna linia przerywana wyznacza miejsce warunkowego zatrzymania pojazdu?,,,,T,D10MM_7org.mp4,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W4,"§ 89 ust. 3 rozporządzenia Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz.U. Nr 170, poz. 1393, ze. zm.)","Znajomość wiedzy w zakresie znaku poziomego P-14 ""linia warunkowego zatrzymania złożona z prostokątów"" oraz ograniczeń z tym związanych",Niestosowanie się do tego znaku rodzi poważne zagrożenie spowodowania wypadku drogowego.,Gotowe ostatecznie,PWPW
W11(1),745,"Czy w przedstawionej sytuacji wolno Ci zawrócić, wykorzystując widoczną po lewej stronie zatokę?",,,,T,013org.jpg,PODSTAWOWY,2,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W11,Ustawa prawo o ruchu drogowym art. 22 ust 1,Znajomość przepisów w zakresie zmiany kierunku jazdy,Umiejętność oceny i doboru miejsca dla zawrócenia ma znaczenie dla porządku ruchu,Gotowe ostatecznie,PWPW
W12(42),748,Czy w tej sytuacji masz prawo wyprzedzać samochód ciężarowy?,,,,T,048D15_a_org.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W12,art. 24 ust. 7 pkt 3)  ustawy z 20 czerwca 1997 roku Prawo o ruchu drogowym (Dz. U. z 2012 r. poz. 1137 ze zm.),o znajomość zasad wyprzedzania,nieznajomość zasad bezpiecznego wyprzedzania rodzi zagrożenie dla bezpieczeństwa ruchu drogowego lub stwarza jego utrudnienie,Gotowe ostatecznie,PWPW
W7(1),758,"Planujesz jechać na wprost, a kierujący pojazdem nadjeżdżającym z przeciwka ma zamiar skręcić w lewo. Czy masz przed nim pierwszeństwo?",,,,N,KW_D22_407_org.mp4,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W7,"Art. 25 ust. 1 ustawy z dnia 20 czerwca 1997 r. - Prawo o ruchu drogowym (Dz.U. z 2005 r. Nr 108, poz. 908, z późn. zm.), w zw. z § 1 ust. 2 pkt 2 oraz § 5 ust. 5 i 7 rozporządzenia Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz.U. Nr 170, poz. 1393, z późn. zm.)",O znajomość zasad pierwszeństwa na skrzyżowaniach oznaczonych znakiem A7 i tabliczką T6c.,"
Brak znajomości zasad pierwszeństwa na skrzyżowaniach oznaczonych znakiem A7 i tabliczką T6c, doprowadzić może do stworzenia zagrożenia dla bezpieczeństwa ruchu drogowego.",Gotowe ostatecznie,PWPW
W7(2),770,"Planujesz skręcić w lewo, a kierujący pojazdem z przeciwka ma zamiar jechać na wprost. Czy masz przed nim pierwszeństwo?",,,,N,KW_D22_417_org.mp4,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W7,"Art. 25 ust. 1 ustawy z dnia 20 czerwca 1997 r. - Prawo o ruchu drogowym (Dz.U. z 2005 r. Nr 108, poz. 908, z późn. zm.), w zw. z § 1 ust.2 pkt 2 oraz § 21 ust. 1 i 5 rozporządzenia Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz.U. Nr 170, poz. 1393, z późn. zm.)",O znajomość zasad pierwszeństwa na skrzyżowaniach oznaczonych znakiem B20 i tabliczką T6c.,"Brak znajomości zasad pierwszeństwa na skrzyżowaniach oznaczonych znakiem B20 i tabliczką T6c, doprowadzić może do stworzenia zagrożenia dla bezpieczeństwa ruchu drogowego.",Gotowe ostatecznie,PWPW
W7(3),771,Zamierzasz skręcić w lewo. Czy masz obowiązek ustąpić pierwszeństwa wszystkim pojazdom znajdującym się na skrzyżowaniu?,,,,T,KW_D22_418_org.mp4,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W7,"Art. 25 ust. 1 ustawy z dnia 20 czerwca 1997 r. - Prawo o ruchu drogowym (Dz.U. z 2005 r. Nr 108, poz. 908, z późn. zm.), w zw. z § 1 ust.2 pkt 2 oraz § 21 ust. 1 i 5 rozporządzenia Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz.U. Nr 170, poz. 1393, z późn. zm.)",O znajomość zasad pierwszeństwa na skrzyżowaniach oznaczonych znakiem B20 i tabliczką T6c.,"Brak znajomości zasad pierwszeństwa na skrzyżowaniach oznaczonych znakiem B20 i tabliczką T6c, doprowadzić może do stworzenia zagrożenia dla bezpieczeństwa ruchu drogowego.",Gotowe ostatecznie,PWPW
W7(4),773,"Zamierzasz jechać na wprost, a motocyklista chce skręcić w lewo. Czy masz obowiązek ustąpić mu pierwszeństwa?",,,,T,KW_D22_419_org.mp4,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W7,"Art. 25 ust. 1 ustawy z dnia 20 czerwca 1997 r. - Prawo o ruchu drogowym (Dz.U. z 2005 r. Nr 108, poz. 908, z późn. zm.), w zw. z § 1 ust.2 pkt 2 i § 21 ust. 5 rozporządzenia Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz.U. Nr 170, poz. 1393, z późn. zm.)",O znajomość zasad pierwszeństwa na skrzyżowaniach oznaczonych znakiem B20 i tabliczką T6c.,"Brak znajomości zasad pierwszeństwa na skrzyżowaniach oznaczonych znakiem B20 i tabliczką T6c, doprowadzić może do stworzenia zagrożenia dla bezpieczeństwa ruchu drogowego.",Gotowe ostatecznie,PWPW
W7(5),774,"Zamierzasz jechać na wprost, a kierujący pojazdem, jadącym z naprzeciwka, chce skręcić w lewo. Czy masz przed nim pierwszeństwo?",,,,N,KW_D22_419_org.mp4,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W7,"Art. 25 ust. 1 ustawy z dnia 20 czerwca 1997 r. - Prawo o ruchu drogowym (Dz.U. z 2005 r. Nr 108, poz. 908, z późn. zm.), w zw. z § 1 ust.2 pkt 2 i § 21 ust. 5 rozporządzenia Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz.U. Nr 170, poz. 1393, z późn. zm.)",O znajomość zasad pierwszeństwa na skrzyżowaniach oznaczonych znakiem B20 i tabliczką T6c.,"Brak znajomości zasad pierwszeństwa na skrzyżowaniach oznaczonych znakiem B20 i tabliczką T6c, doprowadzić może do stworzenia zagrożenia dla bezpieczeństwa ruchu drogowego.",Gotowe ostatecznie,PWPW
